power,wind,target
0.0,3.2,0.0
0.0,3.09,0.0
0.0,2.63,0.0
0.027999999999999997,3.11,0.027999999999999997
0.07,3.28,0.07
0.075,3.39,0.075
0.235,3.5,0.235
0.0,4.27,0.0
0.79,4.57,0.79
0.799,4.13,0.799
2.4730000000000003,4.27,2.4730000000000003
2.17,4.57,2.17
2.295,4.16,2.295
2.38,4.46,2.38
1.885,4.04,1.885
1.341,4.52,1.341
1.209,4.33,1.209
2.316,4.95,2.316
6.582000000000001,5.19,6.582000000000001
8.929,5.38,8.929
11.616,5.73,11.616
10.311,5.63,10.311
8.435,4.76,8.435
5.101,5.64,5.101
2.084,5.09,2.084
0.737,3.99,0.737
1.546,4.4,1.546
1.238,4.74,1.238
0.8909999999999999,4.47,0.8909999999999999
0.589,3.79,0.589
0.42,4.67,0.42
0.153,3.45,0.153
0.0,3.27,0.0
0.0,2.04,0.0
0.0,2.29,0.0
0.0,2.51,0.0
0.14300000000000002,2.43,0.14300000000000002
0.9079999999999999,3.48,0.9079999999999999
4.9,3.69,4.9
5.447,6.07,5.447
4.9030000000000005,5.74,4.9030000000000005
1.635,5.54,1.635
0.96,2.2,0.96
1.507,2.88,1.507
1.54,6.45,1.54
3.861,3.32,3.861
6.365,3.37,6.365
9.398,4.62,9.398
8.01,5.52,8.01
10.395,4.81,10.395
10.209,4.08,10.209
10.29,3.22,10.29
12.192,4.68,12.192
10.987,5.97,10.987
8.331,6.57,8.331
7.399,4.52,7.399
8.44,4.11,8.44
9.487,4.82,9.487
11.673,4.99,11.673
18.8,5.28,18.8
25.629,5.61,25.629
30.255,6.59,30.255
29.141,6.2,29.141
27.77,5.08,27.77
28.186,4.98,28.186
28.256999999999998,5.46,28.256999999999998
20.913,5.16,20.913
18.387999999999998,6.76,18.387999999999998
15.77,5.7,15.77
13.829,5.36,13.829
12.642999999999999,5.37,12.642999999999999
13.545,5.33,13.545
14.276,4.99,14.276
13.68,4.62,13.68
15.485999999999999,4.75,15.485999999999999
17.415,4.26,17.415
16.539,4.15,16.539
16.009,4.89,16.009
14.200999999999999,4.31,14.200999999999999
10.958,4.28,10.958
10.583,2.29,10.583
9.066,1.27,9.066
8.623,0.68,8.623
6.436,3.11,6.436
5.803999999999999,3.49,5.803999999999999
3.688,2.95,3.688
2.1109999999999998,2.89,2.1109999999999998
0.892,2.37,0.892
0.0,2.68,0.0
0.0,1.94,0.0
0.0,1.48,0.0
0.11599999999999999,1.6,0.11599999999999999
0.0,2.49,0.0
0.0,2.19,0.0
0.0,2.18,0.0
0.0,1.11,0.0
0.0,1.43,0.0
0.0,1.13,0.0
0.0,1.21,0.0
0.0,0.94,0.0
0.0,0.72,0.0
0.0,2.14,0.0
0.0,3.35,0.0
0.28,4.0,0.28
0.062,3.46,0.062
0.026000000000000002,3.6,0.026000000000000002
0.099,3.96,0.099
0.17600000000000002,4.38,0.17600000000000002
0.156,4.68,0.156
0.068,4.45,0.068
0.15,4.06,0.15
0.002,3.99,0.002
0.038,4.32,0.038
0.0,4.31,0.0
0.0,4.24,0.0
0.0,4.08,0.0
0.0,4.34,0.0
0.0,4.44,0.0
0.0,4.7,0.0
0.0,4.92,0.0
0.0,4.28,0.0
0.0,2.84,0.0
0.0,3.01,0.0
0.0,1.67,0.0
0.0,1.87,0.0
0.0,2.4,0.0
0.0,2.54,0.0
0.0,3.25,0.0
0.0,1.41,0.0
0.0,1.62,0.0
0.0,3.09,0.0
0.0,2.97,0.0
0.0,1.39,0.0
0.0,0.9,0.0
0.0,2.43,0.0
0.0,1.97,0.0
0.0,1.59,0.0
0.0,1.67,0.0
0.0,1.29,0.0
0.0,0.31,0.0
0.0,3.35,0.0
0.0,0.03,0.0
0.0,0.76,0.0
0.0,1.79,0.0
0.0,2.22,0.0
0.0,1.45,0.0
0.0,2.12,0.0
0.0,2.36,0.0
0.0,2.36,0.0
0.0,1.82,0.0
0.0,1.25,0.0
0.0,1.62,0.0
0.0,1.93,0.0
0.0,1.46,0.0
0.0,0.13,0.0
0.0,0.96,0.0
0.0,0.17,0.0
0.0,0.01,0.0
0.0,0.19,0.0
0.0,0.53,0.0
0.0,0.23,0.0
0.0,0.51,0.0
0.0,0.3,0.0
0.0,0.3,0.0
0.0,0.11,0.0
0.0,0.63,0.0
0.0,1.35,0.0
0.0,1.98,0.0
0.0,2.09,0.0
0.0,0.73,0.0
0.0,0.0,0.0
0.0,0.53,0.0
0.0,1.01,0.0
0.0,1.54,0.0
0.0,2.03,0.0
0.0,2.44,0.0
0.0,3.34,0.0
0.0,3.58,0.0
0.0,2.64,0.0
0.0,1.22,0.0
0.0,1.56,0.0
0.0,1.23,0.0
0.0,0.68,0.0
0.0,1.34,0.0
0.0,1.23,0.0
0.0,2.37,0.0
0.0,1.86,0.0
0.0,2.08,0.0
0.0,1.85,0.0
0.0,2.13,0.0
0.0,2.95,0.0
0.0,2.88,0.0
0.0,2.85,0.0
0.0,2.0,0.0
0.0,1.29,0.0
0.0,1.21,0.0
0.0,1.65,0.0
0.0,2.0,0.0
0.0,1.74,0.0
0.0,2.17,0.0
0.10400000000000001,3.2,0.10400000000000001
0.53,2.9,0.53
0.687,3.51,0.687
0.14,3.09,0.14
0.136,2.69,0.136
0.303,2.71,0.303
0.546,2.76,0.546
0.865,3.59,0.865
2.5580000000000003,4.36,2.5580000000000003
4.604,4.78,4.604
4.918,5.28,4.918
5.144,5.59,5.144
7.875,5.61,7.875
6.843999999999999,5.58,6.843999999999999
7.867000000000001,5.79,7.867000000000001
8.015,5.9,8.015
10.182,6.02,10.182
7.507000000000001,6.62,7.507000000000001
7.957999999999999,6.33,7.957999999999999
6.71,6.05,6.71
5.805,6.1,5.805
6.292999999999999,6.01,6.292999999999999
5.1610000000000005,6.04,5.1610000000000005
7.987,5.87,7.987
7.6339999999999995,6.13,7.6339999999999995
6.105,6.14,6.105
5.22,5.87,5.22
6.08,5.43,6.08
4.635,5.21,4.635
3.8510000000000004,5.48,3.8510000000000004
3.037,4.7,3.037
2.559,4.41,2.559
2.573,3.96,2.573
2.984,4.08,2.984
2.386,4.6,2.386
3.5180000000000002,4.7,3.5180000000000002
3.1439999999999997,0.17,3.1439999999999997
2.995,4.87,2.995
2.516,5.06,2.516
1.881,3.99,1.881
0.544,3.78,0.544
0.7140000000000001,3.48,0.7140000000000001
0.7390000000000001,3.98,0.7390000000000001
1.253,4.14,1.253
1.952,4.75,1.952
2.924,4.06,2.924
4.282,4.16,4.282
3.4010000000000002,3.86,3.4010000000000002
2.249,2.66,2.249
2.495,2.31,2.495
1.767,2.06,1.767
0.009000000000000001,2.41,0.009000000000000001
0.0,2.57,0.0
0.0,2.6,0.0
0.0,2.28,0.0
0.0,1.75,0.0
0.0,1.62,0.0
0.0,1.58,0.0
0.0,2.55,0.0
0.0,2.6,0.0
3.111,3.91,3.111
2.685,5.4,2.685
8.117,4.87,8.117
6.845,5.35,6.845
4.373,4.79,4.373
4.942,5.03,4.942
6.556,4.83,6.556
8.468,5.31,8.468
5.809,5.45,5.809
4.6419999999999995,3.97,4.6419999999999995
3.301,3.76,3.301
2.499,3.17,2.499
1.943,3.24,1.943
3.872,3.49,3.872
2.887,3.75,2.887
1.761,3.51,1.761
1.3719999999999999,3.63,1.3719999999999999
1.656,3.64,1.656
1.868,4.1,1.868
2.748,4.0,2.748
2.401,4.72,2.401
0.7490000000000001,4.04,0.7490000000000001
0.542,4.33,0.542
0.0,3.23,0.0
0.0,2.57,0.0
0.0,2.38,0.0
0.0,1.5,0.0
0.0,1.26,0.0
0.0,0.28,0.0
0.0,1.22,0.0
0.0,2.42,0.0
0.0,1.29,0.0
0.0,1.48,0.0
0.0,2.29,0.0
0.0,2.65,0.0
0.0,1.74,0.0
0.0,1.86,0.0
0.0,2.18,0.0
0.0,1.98,0.0
0.0,2.16,0.0
0.0,2.32,0.0
0.0,1.08,0.0
0.0,1.79,0.0
0.0,1.79,0.0
0.0,1.58,0.0
0.0,0.31,0.0
0.0,0.19,0.0
0.0,1.08,0.0
0.0,1.12,0.0
1.972,2.09,1.972
0.983,2.59,0.983
1.383,2.6,1.383
1.178,2.8,1.178
0.7859999999999999,2.78,0.7859999999999999
0.5720000000000001,2.29,0.5720000000000001
0.26899999999999996,2.07,0.26899999999999996
0.0,1.65,0.0
0.0,1.49,0.0
0.0,1.28,0.0
0.0,1.08,0.0
0.0,1.51,0.0
0.0,0.55,0.0
0.0,0.08,0.0
0.0,0.05,0.0
0.0,0.35,0.0
0.0,0.77,0.0
0.0,0.02,0.0
0.0,0.1,0.0
0.0,0.1,0.0
0.0,0.21,0.0
0.0,0.0,0.0
0.0,0.6,0.0
0.0,5.27,0.0
0.0,1.2,0.0
0.0,1.6,0.0
0.0,0.44,0.0
0.0,1.46,0.0
0.0,1.66,0.0
0.0,1.23,0.0
0.019,1.02,0.019
0.07,1.31,0.07
0.85,1.45,0.85
1.052,1.46,1.052
2.912,3.12,2.912
7.145,4.51,7.145
7.712000000000001,6.14,7.712000000000001
7.8420000000000005,5.28,7.8420000000000005
4.2669999999999995,3.91,4.2669999999999995
4.0760000000000005,2.64,4.0760000000000005
6.664,4.05,6.664
13.937999999999999,5.06,13.937999999999999
14.007,4.46,14.007
13.077,3.79,13.077
11.21,3.19,11.21
15.122,3.85,15.122
21.835,4.02,21.835
15.449000000000002,4.63,15.449000000000002
11.2,4.33,11.2
10.052999999999999,4.72,10.052999999999999
10.981,3.83,10.981
9.408999999999999,3.92,9.408999999999999
7.32,3.49,7.32
7.17,2.83,7.17
6.461,2.83,6.461
4.537,2.92,4.537
6.138,2.77,6.138
10.423,3.77,10.423
16.359,5.1,16.359
14.635,5.45,14.635
15.565,5.64,15.565
16.94,,16.94
15.115,4.91,15.115
10.865,4.39,10.865
10.689,4.07,10.689
10.589,5.02,10.589
10.895999999999999,4.55,10.895999999999999
11.794,3.62,11.794
15.807,4.17,15.807
15.533,4.71,15.533
10.575,4.16,10.575
10.550999999999998,3.87,10.550999999999998
10.08,3.92,10.08
11.763,3.17,11.763
13.119000000000002,4.31,13.119000000000002
12.225,4.79,12.225
10.221,4.53,10.221
11.379000000000001,5.82,11.379000000000001
7.9510000000000005,5.55,7.9510000000000005
7.949,4.65,7.949
6.597,4.86,6.597
5.996,4.49,5.996
4.923,3.77,4.923
4.37,3.19,4.37
3.065,3.06,3.065
4.378,2.42,4.378
2.865,3.21,2.865
3.0269999999999997,3.13,3.0269999999999997
2.388,3.0,2.388
2.696,2.19,2.696
4.564,2.48,4.564
5.845,1.81,5.845
7.337000000000001,2.3,7.337000000000001
6.188,3.8,6.188
6.962999999999999,3.02,6.962999999999999
7.2010000000000005,3.15,7.2010000000000005
6.274,2.34,6.274
8.57,2.47,8.57
9.775,4.3,9.775
10.409,5.15,10.409
12.345,6.01,12.345
13.227,5.21,13.227
16.331,5.48,16.331
15.735,6.12,15.735
18.566,6.24,18.566
21.002,5.99,21.002
27.866999999999997,5.51,27.866999999999997
28.184,5.92,28.184
21.316,6.44,21.316
17.401,5.28,17.401
14.095999999999998,4.52,14.095999999999998
14.392999999999999,4.32,14.392999999999999
16.352999999999998,4.71,16.352999999999998
15.895,5.45,15.895
11.7,4.81,11.7
10.191,4.69,10.191
12.173,3.58,12.173
12.664000000000001,3.96,12.664000000000001
12.475,3.81,12.475
8.261000000000001,1.0,8.261000000000001
11.333,1.65,11.333
14.004000000000001,3.33,14.004000000000001
14.96,3.52,14.96
17.375999999999998,4.49,17.375999999999998
20.566999999999997,5.06,20.566999999999997
18.92,5.45,18.92
18.996,3.27,18.996
14.865,1.78,14.865
17.087,2.48,17.087
18.563,2.67,18.563
22.759,4.64,22.759
23.439,4.68,23.439
26.655,3.52,26.655
39.852,5.28,39.852
41.19,8.2,41.19
38.734,9.35,38.734
36.561,8.62,36.561
21.945999999999998,6.8,21.945999999999998
24.248,3.7,24.248
28.608,5.45,28.608
26.701,5.32,26.701
27.451999999999998,5.75,27.451999999999998
32.389,5.99,32.389
31.338,6.27,31.338
24.491999999999997,6.26,24.491999999999997
16.953,5.26,16.953
11.3,4.03,11.3
8.771,4.5,8.771
7.127999999999999,4.27,7.127999999999999
6.098,6.12,6.098
10.835,6.33,10.835
7.013999999999999,6.96,7.013999999999999
6.398,5.44,6.398
3.845,4.98,3.845
0.774,3.61,0.774
1.334,3.04,1.334
0.797,3.06,0.797
0.0,3.17,0.0
0.0,2.72,0.0
0.153,3.37,0.153
0.546,3.76,0.546
0.867,3.87,0.867
1.006,3.93,1.006
0.985,4.63,0.985
0.475,4.14,0.475
0.9,3.78,0.9
0.381,4.3,0.381
0.0,3.98,0.0
0.044000000000000004,2.88,0.044000000000000004
0.255,3.16,0.255
0.341,4.39,0.341
0.244,4.29,0.244
1.247,4.49,1.247
2.3569999999999998,4.58,2.3569999999999998
3.253,5.09,3.253
4.612,4.59,4.612
2.089,5.64,2.089
0.9440000000000001,3.6,0.9440000000000001
1.078,4.28,1.078
0.488,4.49,0.488
0.535,3.98,0.535
1.071,4.49,1.071
1.213,5.43,1.213
4.114,5.42,4.114
9.349,5.93,9.349
13.574000000000002,6.56,13.574000000000002
16.425,7.0,16.425
18.105,7.62,18.105
23.816999999999997,7.19,23.816999999999997
25.500999999999998,7.03,25.500999999999998
23.895,7.76,23.895
22.079,7.74,22.079
21.71,6.94,21.71
18.147000000000002,6.88,18.147000000000002
20.0,7.21,20.0
23.362,7.72,23.362
19.188,7.56,19.188
14.644,7.39,14.644
17.065,7.28,17.065
15.152000000000001,7.11,15.152000000000001
13.447000000000001,6.74,13.447000000000001
10.812999999999999,6.69,10.812999999999999
9.782,6.46,9.782
9.093,6.24,9.093
7.742999999999999,5.97,7.742999999999999
8.821,6.27,8.821
8.981,6.05,8.981
9.832,6.03,9.832
8.555,6.1,8.555
8.999,5.87,8.999
8.45,5.58,8.45
9.92,6.04,9.92
12.048,6.46,12.048
10.713,6.23,10.713
11.292,6.24,11.292
8.574,2.44,8.574
10.042,6.0,10.042
11.887,5.89,11.887
11.557,5.98,11.557
10.67,5.88,10.67
14.994000000000002,5.35,14.994000000000002
15.719000000000001,6.97,15.719000000000001
17.444000000000003,6.56,17.444000000000003
16.075,5.96,16.075
13.168,6.75,13.168
10.714,6.32,10.714
7.117999999999999,4.59,7.117999999999999
6.028,4.86,6.028
4.346,3.82,4.346
4.0360000000000005,2.86,4.0360000000000005
3.786,2.86,3.786
3.676,3.73,3.676
2.812,3.4,2.812
4.2,3.19,4.2
4.619,4.09,4.619
4.412,4.3,4.412
4.285,3.74,4.285
2.9589999999999996,4.29,2.9589999999999996
5.742999999999999,5.13,5.742999999999999
7.847,5.64,7.847
5.475,5.47,5.475
7.925,4.75,7.925
4.638,4.92,4.638
2.458,5.09,2.458
2.5860000000000003,4.1,2.5860000000000003
1.656,3.15,1.656
1.815,2.47,1.815
3.597,2.7,3.597
3.0839999999999996,3.2,3.0839999999999996
2.6069999999999998,3.94,2.6069999999999998
0.924,4.1,0.924
3.886,4.38,3.886
2.728,5.68,2.728
1.83,4.68,1.83
0.632,4.25,0.632
1.16,4.18,1.16
1.239,4.48,1.239
0.513,4.64,0.513
1.6980000000000002,4.21,1.6980000000000002
1.776,3.98,1.776
1.944,4.45,1.944
2.39,4.49,2.39
3.053,4.3,3.053
0.0,3.94,0.0
0.606,3.56,0.606
0.191,3.59,0.191
0.0,3.47,0.0
0.0,3.48,0.0
0.132,3.73,0.132
0.02,4.12,0.02
0.0,4.05,0.0
0.0,3.91,0.0
0.121,3.87,0.121
0.139,4.13,0.139
0.0,4.46,0.0
0.017,4.36,0.017
0.77,4.69,0.77
0.845,5.27,0.845
0.835,4.76,0.835
0.74,4.65,0.74
0.5710000000000001,4.56,0.5710000000000001
1.883,5.07,1.883
1.455,5.7,1.455
0.924,5.64,0.924
0.494,5.32,0.494
0.493,5.25,0.493
0.055,5.81,0.055
0.0,5.06,0.0
0.0,3.03,0.0
0.0,2.49,0.0
0.0,0.4,0.0
0.0,0.47,0.0
0.0,1.15,0.0
0.0,1.43,0.0
0.0,0.4,0.0
0.0,0.0,0.0
0.0,0.72,0.0
0.0,0.0,0.0
0.0,0.45,0.0
0.0,0.0,0.0
0.0,1.11,0.0
0.0,1.82,0.0
0.0,0.8,0.0
0.0,0.59,0.0
0.0,1.52,0.0
0.0,1.48,0.0
0.0,1.88,0.0
0.0,1.84,0.0
0.075,2.84,0.075
1.083,2.76,1.083
1.774,3.51,1.774
2.407,5.99,2.407
2.6839999999999997,3.79,2.6839999999999997
3.8169999999999997,3.61,3.8169999999999997
5.494,3.89,5.494
10.615,4.29,10.615
10.919,4.95,10.919
14.196,5.26,14.196
15.350999999999999,5.29,15.350999999999999
17.548,4.49,17.548
21.809,5.13,21.809
22.235,5.94,22.235
26.465999999999998,4.35,26.465999999999998
29.585,4.81,29.585
27.316,3.95,27.316
28.324,5.58,28.324
30.633000000000003,3.78,30.633000000000003
32.355,3.53,32.355
32.728,5.37,32.728
36.495,6.24,36.495
34.374,4.71,34.374
37.256,6.57,37.256
39.414,7.66,39.414
36.918,8.29,36.918
35.364000000000004,7.63,35.364000000000004
33.229,7.73,33.229
36.900999999999996,6.77,36.900999999999996
35.933,6.57,35.933
34.222,6.23,34.222
34.336,5.47,34.336
36.766,6.82,36.766
39.525,7.38,39.525
39.556,7.76,39.556
39.622,7.64,39.622
38.683,7.97,38.683
40.146,7.93,40.146
40.391,8.78,40.391
37.872,7.85,37.872
40.444,6.6,40.444
40.079,6.59,40.079
42.647,7.14,42.647
42.268,6.43,42.268
42.278,8.28,42.278
41.868,10.93,41.868
42.098,11.45,42.098
41.707,10.97,41.707
42.306000000000004,10.16,42.306000000000004
42.24,10.73,42.24
41.657,10.96,41.657
41.968999999999994,10.87,41.968999999999994
41.031000000000006,10.96,41.031000000000006
41.328,10.96,41.328
41.698,10.77,41.698
41.948,11.21,41.948
41.268,10.49,41.268
40.686,10.36,40.686
40.605,10.08,40.605
40.094,10.15,40.094
39.832,10.09,39.832
40.214,9.92,40.214
40.843,9.48,40.843
41.409,9.33,41.409
42.263999999999996,9.53,42.263999999999996
40.872,9.06,40.872
37.668,9.13,37.668
40.29,9.34,40.29
39.715,10.19,39.715
33.02,10.18,33.02
27.078000000000003,8.85,27.078000000000003
21.188000000000002,7.68,21.188000000000002
22.824,5.82,22.824
33.299,5.86,33.299
38.519,7.52,38.519
38.664,9.33,38.664
40.321999999999996,9.27,40.321999999999996
39.955,8.77,39.955
41.367,9.1,41.367
41.263000000000005,9.32,41.263000000000005
41.133,9.67,41.133
39.471,9.57,39.471
41.06100000000001,9.57,41.06100000000001
41.348,9.14,41.348
40.499,9.39,40.499
39.216,8.84,39.216
39.38,9.78,39.38
40.037,10.3,40.037
39.496,9.75,39.496
40.955,10.26,40.955
41.843999999999994,10.39,41.843999999999994
42.431000000000004,10.89,42.431000000000004
40.866,9.9,40.866
41.958,9.46,41.958
41.91,9.69,41.91
40.974,10.53,40.974
41.419,11.56,41.419
42.153,11.74,42.153
41.943999999999996,11.31,41.943999999999996
40.927,3.99,40.927
39.952,11.02,39.952
42.973,10.26,42.973
43.221000000000004,10.61,43.221000000000004
42.268,10.35,42.268
41.903,9.05,41.903
42.976000000000006,8.67,42.976000000000006
42.778999999999996,10.42,42.778999999999996
43.036,11.06,43.036
37.275,9.81,37.275
42.001000000000005,9.2,42.001000000000005
41.769,8.65,41.769
37.277,8.4,37.277
37.917,6.52,37.917
39.126999999999995,5.86,39.126999999999995
38.397,5.79,38.397
41.548,5.99,41.548
39.645,6.95,39.645
40.436,6.45,40.436
41.641000000000005,7.52,41.641000000000005
41.961000000000006,7.89,41.961000000000006
39.159,9.44,39.159
42.596000000000004,7.76,42.596000000000004
43.05,9.11,43.05
43.16,9.1,43.16
43.115,9.93,43.115
43.2,10.77,43.2
43.04,11.16,43.04
43.045,11.8,43.045
42.963,10.76,42.963
43.073,10.49,43.073
43.076,10.77,43.076
43.173,10.33,43.173
43.176,9.55,43.176
43.108000000000004,9.52,43.108000000000004
43.019,8.29,43.019
43.059,8.79,43.059
42.943999999999996,8.61,42.943999999999996
42.94,8.54,42.94
43.074,,43.074
42.156000000000006,9.57,42.156000000000006
42.858000000000004,8.78,42.858000000000004
42.926,8.73,42.926
43.045,8.83,43.045
42.111000000000004,8.7,42.111000000000004
41.696999999999996,9.13,41.696999999999996
40.301,9.32,40.301
36.531,8.92,36.531
41.385,8.99,41.385
41.961000000000006,9.64,41.961000000000006
38.935,9.81,38.935
39.472,7.79,39.472
39.638000000000005,7.89,39.638000000000005
39.092,9.23,39.092
41.211000000000006,8.87,41.211000000000006
35.836999999999996,8.75,35.836999999999996
36.342,8.34,36.342
28.531,8.92,28.531
24.873,8.43,24.873
24.419,7.53,24.419
22.881999999999998,7.85,22.881999999999998
23.595,8.02,23.595
23.583000000000002,7.01,23.583000000000002
25.557,7.35,25.557
23.934,7.22,23.934
22.79,6.89,22.79
21.32,5.91,21.32
24.204,6.36,24.204
21.174,6.49,21.174
18.799,5.53,18.799
24.706999999999997,6.29,24.706999999999997
22.723000000000003,5.92,22.723000000000003
24.745,6.57,24.745
23.872,6.1,23.872
22.579,6.41,22.579
22.005,5.19,22.005
